ID,DEPARTAMENTO,LOCALIDAD,COD. DPTO,CODIGO RED,IP_DESDE,IP_HASTA,SNA,DHCP,OBSERVACIONES
116,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 1,S,10,10.32.16.15,10.32.16.249,S10S3?,,IP fija con emulación
117,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 1,S,11,10.32.17.15,10.32.17.249,,,IP fija sin emulación
118,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 1,S,12,10.32.18.15,10.32.18.249,,,Rango reservado
119,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 1,S,13,10.32.19.15,10.32.19.249,,,Rango DHCP
120,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 2,S,14,10.32.20.15,10.32.20.249,S20S2?,,IP fija con emulación
121,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 2,S,15,10.32.21.15,10.32.21.249,,,IP fija sin emulación
122,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 2,S,16,10.32.22.15,10.32.22.249,,,Rango reservado
123,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 2,S,17,10.32.23.15,10.32.23.249,,,Rango DHCP
124,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 3,S,18,10.32.24.15,10.32.24.249,,,IP fija con emulación
125,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 3,S,19,10.32.25.15,10.32.25.249,,,IP fija sin emulación
126,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 3,S,1A,10.32.26.15,10.32.26.249,,,Rango reservado
127,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 3,S,1B,10.32.27.15,10.32.27.249,,,Rango DHCP
128,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 4,S,1C,10.32.28.15,10.32.28.249,,,IP fija con emulación
129,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 4,S,1D,10.32.29.15,10.32.29.249,,,IP fija sin emulación
130,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 4,S,1E,10.32.30.15,10.32.30.249,,,Rango reservado
131,MONTEVIDEO - SEDE,Centro Comercial Cordón - Piso 4,S,1F,10.32.31.15,10.32.31.249,,,Rango DHCP
528,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Telefonia,,,10.35.200.1,30.35.204.254,,,Provisorio Telefonia
529,MONTEVIDEO - SEDE,Centro Comercial Cordón - Laboratorio,V,F1,10.35.241.15,10.35.241.249,,,Servicio 4Mb para pruebas Telefonia IP
405,MONTEVIDEO - SEDE,Servicios Auxiliares en Datacenters,S,28,10.32.40.15,10.32.40.249,,,Datacenters de Sede y CPD1
406,MONTEVIDEO - SEDE,Servicios Auxiliares en Datacenters,S,29,10.32.41.15,10.32.41.249,,,Datacenters de Sede y CPD1
407,MONTEVIDEO - SEDE,Servicios Auxiliares en Datacenters,S,2A,10.32.42.15,10.32.42.249,,,Datacenters de Sede y CPD1
408,MONTEVIDEO - SEDE,Servicios Auxiliares en Datacenters,S,2B,10.32.43.15,10.32.43.249,,,Datacenters de Sede y CPD1
522,MONTEVIDEO - SEDE,Valor Agregado y Contenido,S,34,10.32.52.15,10.32.52.249,,,Fernandez Crespo 1940
166,MONTEVIDEO - TORRE,Torre - Piso 01,U,04,10.33.4.15,10.33.4.249,,,IP fija con emulación
167,MONTEVIDEO - TORRE,Torre - Piso 01,U,05,10.33.5.15,10.33.5.249,,,IP fija sin emulación
168,MONTEVIDEO - TORRE,Torre - Piso 01,U,06,10.33.6.15,10.33.6.249,,,Rango reservado
169,MONTEVIDEO - TORRE,Torre - Piso 01,U,07,10.33.7.15,10.33.7.249,,,Rango DHCP
170,MONTEVIDEO - TORRE,Torre - Piso 02,U,08,10.33.8.15,10.33.8.249,,,IP fija con emulación
171,MONTEVIDEO - TORRE,Torre - Piso 02,U,09,10.33.9.15,10.33.9.249,,,IP fija sin emulación
172,MONTEVIDEO - TORRE,Torre - Piso 02,U,0A,10.33.10.15,10.33.10.249,,,Rango reservado
173,MONTEVIDEO - TORRE,Torre - Piso 02,U,0B,10.33.11.15,10.33.11.249,,,Rango DHCP
174,MONTEVIDEO - TORRE,Torre - Piso 03,U,0C,10.33.12.15,10.33.12.249,,,IP fija con emulación
175,MONTEVIDEO - TORRE,Torre - Piso 03,U,0D,10.33.13.15,10.33.13.249,,,IP fija sin emulación
176,MONTEVIDEO - TORRE,Torre - Piso 03,U,0E,10.33.14.15,10.33.14.249,,,Rango reservado
177,MONTEVIDEO - TORRE,Torre - Piso 03,U,0F,10.33.15.15,10.33.15.249,,,Rango DHCP
178,MONTEVIDEO - TORRE,Torre - Piso 04,U,10,10.33.16.15,10.33.16.249,,,IP fija con emulación
179,MONTEVIDEO - TORRE,Torre - Piso 04,U,11,10.33.17.15,10.33.17.249,,,IP fija sin emulación
180,MONTEVIDEO - TORRE,Torre - Piso 04,U,12,10.33.18.15,10.33.18.249,,,Rango reservado
181,MONTEVIDEO - TORRE,Torre - Piso 04,U,13,10.33.19.15,10.33.19.249,,,Rango DHCP
182,MONTEVIDEO - TORRE,Torre - Piso 05,U,14,10.33.20.15,10.33.20.249,,,IP fija con emulación
183,MONTEVIDEO - TORRE,Torre - Piso 05,U,15,10.33.21.15,10.33.21.249,,,IP fija sin emulación
184,MONTEVIDEO - TORRE,Torre - Piso 05,U,16,10.33.22.15,10.33.22.249,,,Rango reservado
185,MONTEVIDEO - TORRE,Torre - Piso 05,U,17,10.33.23.15,10.33.23.249,,,Rango DHCP
186,MONTEVIDEO - TORRE,Torre - Piso 06,U,18,10.33.24.15,10.33.24.249,,,IP fija sin emulación
187,MONTEVIDEO - TORRE,Torre - Piso 06,U,19,10.33.25.15,10.33.25.249,,,IP fija con emulación
188,MONTEVIDEO - TORRE,Torre - Piso 06,U,1A,10.33.26.15,10.33.26.249,,,Rango reservado
189,MONTEVIDEO - TORRE,Torre - Piso 06,U,1B,10.33.27.15,10.33.27.249,,,Rango DHCP
190,MONTEVIDEO - TORRE,Torre - Piso 07,U,1C,10.33.28.15,10.33.28.249,,,IP fija con emulación
191,MONTEVIDEO - TORRE,Torre - Piso 07,U,1D,10.33.29.15,10.33.29.249,,,IP fija sin emulación
192,MONTEVIDEO - TORRE,Torre - Piso 07,U,1E,10.33.30.15,10.33.30.249,,,Rango reservado
193,MONTEVIDEO - TORRE,Torre - Piso 07,U,1F,10.33.31.15,10.33.31.249,,,Rango DHCP
194,MONTEVIDEO - TORRE,Torre - Piso 08,U,20,10.33.32.15,10.33.32.249,,,IP fija con emulación
195,MONTEVIDEO - TORRE,Torre - Piso 08,U,21,10.33.33.15,10.33.33.249,,,IP fija sin emulación
196,MONTEVIDEO - TORRE,Torre - Piso 08,U,22,10.33.34.15,10.33.34.249,,,Rango reservado
197,MONTEVIDEO - TORRE,Torre - Piso 08,U,23,10.33.35.15,10.33.35.249,,,Rango DHCP
198,MONTEVIDEO - TORRE,Torre - Piso 09,U,24,10.33.36.15,10.33.36.249,,,IP fija con emulación
199,MONTEVIDEO - TORRE,Torre - Piso 09,U,25,10.33.37.15,10.33.37.249,,,IP fija sin emulación
200,MONTEVIDEO - TORRE,Torre - Piso 09,U,26,10.33.38.15,10.33.38.249,,,Rango reservado
201,MONTEVIDEO - TORRE,Torre - Piso 09,U,27,10.33.39.15,10.33.39.249,,,Rango DHCP
202,MONTEVIDEO - TORRE,Torre - Piso 10,U,28,10.33.40.15,10.33.40.249,,,IP fija con emulación
203,MONTEVIDEO - TORRE,Torre - Piso 10,U,29,10.33.41.15,10.33.41.249,,,IP fija sin emulación
204,MONTEVIDEO - TORRE,Torre - Piso 10,U,2A,10.33.42.15,10.33.42.249,,,Rango reservado
205,MONTEVIDEO - TORRE,Torre - Piso 10,U,2B,10.33.43.15,10.33.43.249,,,Rango DHCP
206,MONTEVIDEO - TORRE,Torre - Piso 11,U,2C,10.33.44.15,10.33.44.249,,,IP fija con emulación
207,MONTEVIDEO - TORRE,Torre - Piso 11,U,2D,10.33.45.15,10.33.45.249,,,IP fija sin emulación
208,MONTEVIDEO - TORRE,Torre - Piso 11,U,2E,10.33.46.15,10.33.46.249,,,Rango reservado
209,MONTEVIDEO - TORRE,Torre - Piso 11,U,2F,10.33.47.15,10.33.47.249,,,Rango DHCP
210,MONTEVIDEO - TORRE,Torre - Piso 12,U,30,10.33.48.15,10.33.48.249,,,IP fija con emulación
211,MONTEVIDEO - TORRE,Torre - Piso 12,U,31,10.33.49.15,10.33.49.249,,,IP fija sin emulación
212,MONTEVIDEO - TORRE,Torre - Piso 12,U,32,10.33.50.15,10.33.50.249,,,Rango reservado
213,MONTEVIDEO - TORRE,Torre - Piso 12,U,33,10.33.51.15,10.33.51.249,,,Rango DHCP
214,MONTEVIDEO - TORRE,Torre - Piso 13,U,34,10.33.52.15,10.33.52.249,,,IP fija con emulación
215,MONTEVIDEO - TORRE,Torre - Piso 13,U,35,10.33.53.15,10.33.53.249,,,IP fija sin emulación
216,MONTEVIDEO - TORRE,Torre - Piso 13,U,36,10.33.54.15,10.33.54.249,,,Rango reservado
217,MONTEVIDEO - TORRE,Torre - Piso 13,U,37,10.33.55.15,10.33.55.249,,,Rango DHCP
218,MONTEVIDEO - TORRE,Torre - Piso 14,U,38,10.33.56.15,10.33.56.249,,,IP fija con emulación
219,MONTEVIDEO - TORRE,Torre - Piso 14,U,39,10.33.57.15,10.33.57.249,,,IP fija sin emulación
220,MONTEVIDEO - TORRE,Torre - Piso 14,U,3A,10.33.58.15,10.33.58.249,,,Rango reservado
221,MONTEVIDEO - TORRE,Torre - Piso 14,U,3B,10.33.59.15,10.33.59.249,,,Rango DHCP
222,MONTEVIDEO - TORRE,Torre - Piso 15,U,3C,10.33.60.15,10.33.60.249,,,IP fija sin emulación
223,MONTEVIDEO - TORRE,Torre - Piso 15,U,3D,10.33.61.15,10.33.61.249,,,IP fija con emulación
224,MONTEVIDEO - TORRE,Torre - Piso 15,U,3E,10.33.62.15,10.33.62.249,,,Rango reservado
225,MONTEVIDEO - TORRE,Torre - Piso 15,U,3F,10.33.63.15,10.33.63.249,,,Rango DHCP
226,MONTEVIDEO - TORRE,Torre - Piso 16,U,40,10.33.64.15,10.33.64.249,,,IP fija con emulación
227,MONTEVIDEO - TORRE,Torre - Piso 16,U,41,10.33.65.15,10.33.65.249,,,IP fija sin emulación
228,MONTEVIDEO - TORRE,Torre - Piso 16,U,42,10.33.66.15,10.33.66.249,,,Rango reservado
229,MONTEVIDEO - TORRE,Torre - Piso 16,U,43,10.33.67.15,10.33.67.249,,,Rango DHCP
230,MONTEVIDEO - TORRE,Torre - Piso 17,U,44,10.33.68.15,10.33.68.249,,,IP fija con emulación
231,MONTEVIDEO - TORRE,Torre - Piso 17,U,45,10.33.69.15,10.33.69.249,,,IP fija sin emulación
232,MONTEVIDEO - TORRE,Torre - Piso 17,U,46,10.33.70.15,10.33.70.249,,,Rango reservado
233,MONTEVIDEO - TORRE,Torre - Piso 17,U,47,10.33.71.15,10.33.71.249,,,Rango DHCP
234,MONTEVIDEO - TORRE,Torre - Piso 18,U,48,10.33.72.15,10.33.72.249,,,IP fija con emulación
235,MONTEVIDEO - TORRE,Torre - Piso 18,U,49,10.33.73.15,10.33.73.249,,,IP fija sin emulación
236,MONTEVIDEO - TORRE,Torre - Piso 18,U,4A,10.33.74.15,10.33.74.249,,,Rango reservado
237,MONTEVIDEO - TORRE,Torre - Piso 18,U,4B,10.33.75.15,10.33.75.249,,,Rango DHCP
238,MONTEVIDEO - TORRE,Torre - Piso 19,U,4C,10.33.76.15,10.33.76.249,,,IP fija con emulación
239,MONTEVIDEO - TORRE,Torre - Piso 19,U,4D,10.33.77.15,10.33.77.249,,,IP fija sin emulación
240,MONTEVIDEO - TORRE,Torre - Piso 19,U,4E,10.33.78.15,10.33.78.249,,,Rango reservado
241,MONTEVIDEO - TORRE,Torre - Piso 19,U,4F,10.33.79.15,10.33.79.249,,,Rango DHCP
242,MONTEVIDEO - TORRE,Torre - Piso 20,U,50,10.33.80.15,10.33.80.249,,,IP fija con emulación
243,MONTEVIDEO - TORRE,Torre - Piso 20,U,51,10.33.81.15,10.33.81.249,,,IP fija sin emulación
244,MONTEVIDEO - TORRE,Torre - Piso 20,U,52,10.33.82.15,10.33.82.249,,,Rango reservado
245,MONTEVIDEO - TORRE,Torre - Piso 20,U,53,10.33.83.15,10.33.83.249,,,Rango DHCP
246,MONTEVIDEO - TORRE,Torre - Piso 21,U,54,10.33.84.15,10.33.84.249,,,IP fija con emulación
247,MONTEVIDEO - TORRE,Torre - Piso 21,U,55,10.33.85.15,10.33.85.249,,,IP fija sin emulación
248,MONTEVIDEO - TORRE,Torre - Piso 21,U,56,10.33.86.15,10.33.86.249,,,Rango reservado
249,MONTEVIDEO - TORRE,Torre - Piso 21,U,57,10.33.87.15,10.33.87.249,,,Rango DHCP
250,MONTEVIDEO - TORRE,Torre - Piso 22,U,58,10.33.88.15,10.33.88.249,,,IP fija con emulación
251,MONTEVIDEO - TORRE,Torre - Piso 22,U,59,10.33.89.15,10.33.89.249,,,IP fija sin emulación
252,MONTEVIDEO - TORRE,Torre - Piso 22,U,5A,10.33.90.15,10.33.90.249,,,Rango reservado
253,MONTEVIDEO - TORRE,Torre - Piso 22,U,5B,10.33.91.15,10.33.91.249,,,Rango DHCP
254,MONTEVIDEO - TORRE,Torre - Piso 23,U,5C,10.33.92.15,10.33.92.249,,,IP fija con emulación
255,MONTEVIDEO - TORRE,Torre - Piso 23,U,5D,10.33.93.15,10.33.93.249,,,IP fija sin emulación
256,MONTEVIDEO - TORRE,Torre - Piso 23,U,5E,10.33.94.15,10.33.94.249,,,Rango reservado
257,MONTEVIDEO - TORRE,Torre - Piso 23,U,5F,10.33.95.15,10.33.95.249,,,Rango DHCP
258,MONTEVIDEO - TORRE,Torre - Piso 24,U,60,10.33.96.15,10.33.96.249,,,IP fija con emulación
259,MONTEVIDEO - TORRE,Torre - Piso 24,U,61,10.33.97.15,10.33.97.249,,,IP fija sin emulación
260,MONTEVIDEO - TORRE,Torre - Piso 24,U,62,10.33.98.15,10.33.98.249,,,Rango reservado
261,MONTEVIDEO - TORRE,Torre - Piso 24,U,63,10.33.99.15,10.33.99.249,,,Rango DHCP
262,MONTEVIDEO - TORRE,Torre - Piso 25,U,64,10.33.100.15,10.33.100.249,,,IP fija con emulación
263,MONTEVIDEO - TORRE,Torre - Piso 25,U,65,10.33.101.15,10.33.101.249,,,IP fija sin emulación
264,MONTEVIDEO - TORRE,Torre - Piso 25,U,66,10.33.102.15,10.33.102.249,,,Rango reservado
265,MONTEVIDEO - TORRE,Torre - Piso 25,U,67,10.33.103.15,10.33.103.249,,,Rango DHCP
266,MONTEVIDEO - TORRE,Torre - Subsuelo,U,98,10.33.152.15,10.33.152.249,,,IP fija sin emulación
267,MONTEVIDEO - TORRE,Torre - Subsuelo,U,99,10.33.153.15,10.33.153.249,,,IP fija con emulación
268,MONTEVIDEO - TORRE,Torre - Subsuelo,U,9A,10.33.154.15,10.33.154.249,,,Rango reservado
269,MONTEVIDEO - TORRE,Torre - Subsuelo,U,9B,10.33.155.15,10.33.155.249,,,"Rango DHCP - SS, Intendencia y MUSEO"
270,MONTEVIDEO - TORRE,Torre - Subsuelo B,U,9C,10.33.156.15,10.33.156.249,,,IP fija con emulación
271,MONTEVIDEO - TORRE,Torre - Subsuelo B,U,9D,10.33.157.15,10.33.157.249,,,IP fija sin emulación
272,MONTEVIDEO - TORRE,Torre - Subsuelo B,U,9E,10.33.158.15,10.33.158.249,,,Rango reservado
273,MONTEVIDEO - TORRE,Torre - Subsuelo B,U,9F,10.33.159.15,10.33.159.249,,,Rango DHCP
340,MONTEVIDEO - PERIFERIA,Cerro CCTV,T,87,10.37.135.15,10.37.135.249,,,CCTV
341,MONTEVIDEO - PERIFERIA,Carrasco CCTV,T,88,10.37.136.15,10.37.136.249,,,CCTV
342,MONTEVIDEO - PERIFERIA,Paso de la Arena CCTV,T,89,10.37.137.15,10.37.137.249,,,CCTV
343,MONTEVIDEO - PERIFERIA,Plaza CCTV,T,8A,10.37.138.15,10.37.138.249,,,CCTV
344,MONTEVIDEO - PERIFERIA,Piedras Blancas CCTV,T,8B,10.37.139.15,10.37.139.249,,,CCTV
345,MONTEVIDEO - PERIFERIA,Sayago CCTV,T,8C,10.37.140.15,10.37.140.249,,,CCTV
346,MONTEVIDEO - PERIFERIA,Union Distribucion de Facturas CCTV,T,8D,10.37.141.15,10.37.141.249,,,CCTV
347,MONTEVIDEO - PERIFERIA,Colon CCTV,T,8E,10.37.142.15,10.37.142.249,,,CCTV
348,MONTEVIDEO - PERIFERIA,Santiago Vazquez  CCTV,T,8F,10.37.143.15,10.37.143.249,,,CCTV
349,MONTEVIDEO - PERIFERIA,Tres Cruces  CCTV,T,90,10.37.144.15,10.37.144.249,,,CCTV
338,MONTEVIDEO - TORRE,CCTV Periferia,U,74,10.33.116.15,10.33.116.249,,,CCTV Locales c/ cámaras administrados por grupo LAN
339,MONTEVIDEO - TORRE,CCTV Torre,U,75,10.33.117.15,10.33.117.249,,,CCTV
385,MONTEVIDEO - PERIFERIA,Calle Canaro (Ex Pocitos) CCTV,T,4F,10.37.79.15,10.37.79.249,,,CCTV
495,PAYSANDU,Paysandu,I,00,10.44.0.15,10.44.0.249,,,IP fija sin emulación
63, ,Paysandu,I,01,10.44.1.15,10.44.1.249,IA0I??,,Montevideo 875
496,PAYSANDU,Paysandu,I,02,10.44.2.15,10.44.2.249,,,Rango reservado
497,PAYSANDU,Paysandu,I,03,10.44.3.1,10.44.3.254,,SI,DHCP
64,PAYSANDU,Guichon,I,11,10.44.17.15,10.44.17.249,IB0I??,SI,
65,PAYSANDU,Paysandu Economico Financiera,I,21,10.44.33.15,10.44.33.249,,SI,Zorrilla 852 - Aula Virtual PB / Economico Financiera P1
66,PAYSANDU,Hipercentro,I,31,10.44.49.15,10.44.49.249,IH0I??,SI,Hipercentro SuperStar Calle Washington 1673
386,PAYSANDU,Paysandu Planta Externa,I,41,10.44.65.15,10.44.65.249,IS0IS?,SI,
390,PAYSANDU,Paysandu Terminal de Omnibus,I,51,10.44.81.15,10.44.81.249,IF0I??,,Zorrilla de San Martín esquina Artigas (Tel 47227099) Terminal y Shopping
399,PAYSANDU,Quebracho (CAC),I,61,10.44.97.15,10.44.97.249,IG0??,,
431,PAYSANDU,Piedras Coloradas,I,71,10.44.113.15,10.44.113.249,,,
432,PAYSANDU,Paysandu Innova,I,81,10.44.129.15,10.44.129.249,,,Leandro Gómez esq. 33 Orientales sin numero
458,PAYSANDU,Nuevo Paysandu (CAC),I,79,10.44.121.15,10.44.121.249,,,
474,PAYSANDU,El Eucalipto (CAC),I,91,10.44.145.15,10.44.145.249,,,Va por Radio Enlace actualmentne 190.64.18.255 - Pc 190.64.18.244 / 27
518,PAYSANDU,Deposito Paysandu,I,98,10.44.152.15,10.44.152.249,,,Joaquín Suárez 1078 
567,PAYSANDU,Quebracho,I,A1,10.44.161.15,10.44.161.249,,,CMNO VIA FERREA 1A PARL ESTE-VCNL P: 8451R
582,PAYSANDU,Termas de Guaviyu PE,I,B1,10.44.177.15,10.44.177.249,,,Enlace Anterior 
582,PAYSANDU,Termas de Guaviyu PE,I,B2,10.44.178.15,10.44.178.249,,,"Paralela a Ruta 3, Predio Termas, P114R Caseta Num. 47559900"
67,RIO NEGRO,Fray Bentos,J,01,10.43.1.15,10.43.1.249,,SI,
68,RIO NEGRO,Young  ,J,11,10.43.17.15,10.43.17.249,,,
376,RIO NEGRO,Young  Planta Externa,J,21,10.43.33.15,10.43.33.249,,,
394,RIO NEGRO,San Javier (CAC),J,31,10.43.49.15,10.43.49.249,,,
433,RIO NEGRO,Las Cañas,J,41,10.43.65.15,10.43.65.249,,,Rambla Costanera frente a la Playa Grande del balneario
463,RIO NEGRO,Nuevo Berlín,J,51,10.43.81.15,10.43.81.249,,,33 Orientales S/N
508,RIO NEGRO,Pueblo Grecco (CAC),J,61,10.43.97.15,10.43.97.249,,,
554,RIO NEGRO,Nuevo Berlín Planta Externa,J,71,10.43.113.15,10.43.113.249,,,33 Orientales s/n
555,RIO NEGRO,San Javier Planta Externa,J,81,10.43.129.15,10.43.129.249,,,José Pedro Varela s/n
568,RIO NEGRO,Nuevo Berlin Provisorio,J,91,10.43.145.15,10.43.145.249,,,18 de Julio s/n esquina Lavalleja 
598,RIO NEGRO,San Javier RB,J,A1,10.43.161.15,10.43.161.249,,,"Caseta Direccion Ruta 24 Km 67,500  
-32669823    -57998808
"
599,RIO NEGRO,Palmar PE,J,A9,10.43.169.15,10.43.169.249,,,"Caseta Ruta 20 Km 63,500 después a la izquierda 3 km"
604,RIO NEGRO,Haedo RB y Trans,J,AA,10.43.170.15,10.43.170.249,,,"Caseta Ruta 24, Km. 33 -32.944268 -57.983132"
54,RIVERA,Rivera,F,01,10.53.1.15,10.53.1.249,,SI,Agraciada 606
55,RIVERA,Vichadero,F,11,10.53.17.15,10.53.17.249,,SI,
56,RIVERA,Tranqueras,F,21,10.53.33.15,10.53.33.249,,SI,
57,RIVERA,Minas de Corrales,F,31,10.53.49.15,10.53.49.249,,SI,Dr Davidson s/n
525,RIVERA,Shopping Melancía,F,41,10.53.65.15,10.53.65.249,,,
580,RIVERA,Tranqueras PE,F,51,10.53.81.15,10.53.81.249,,,Artigas s/n entre Joaquín Suarez y Elena Navarro
605,RIVERA,Vichadero Caseta,F,8C,10.53.140.15,10.53.140.249,,,"Carlos María Broggio s/n, entre Tranqueras y ruta 6. -31.774325 -54.684571"
42,ROCHA,Rocha  ,C,01,10.57.1.15,10.57.1.249,,SI,General Artigas 159 esq Rodo
43,ROCHA,Chuy  ,C,11,10.57.17.15,10.57.17.249,,SI,
44,ROCHA,Castillos ,C,21,10.57.33.15,10.57.33.249,,SI,
45,ROCHA,Lascano  ,C,31,10.57.49.15,10.57.49.249,,SI,
46,ROCHA,La Paloma ,C,41,10.57.65.15,10.57.65.249,,SI,
301,ROCHA,Rocha (local viejo en reformas),C,51,10.57.81.15,10.57.81.249,,,Local PROVISORIO   
374,ROCHA,Rocha Planta Externa,C,61,10.57.97.15,10.57.97.249,,,Luis A.de Herrera N° 318 entre Manuel Oribe y Pablo Zufriategui
461,ROCHA,Punta Del Diablo,C,71,10.57.113.15,10.57.113.224,,,Simon Bolivar y Aldea Del Mar  
465,ROCHA,Santa Teresa,C,81,10.57.129.15,10.57.129.224,,,Parque Santa Teresa - Contenedor Micro / La Moza
561,ROCHA,Velazquez,C,91,10.57.145.15,10.57.145.249,,,Calle 10 
562,ROCHA,La Coronilla,C,A1,10.57.161.15,10.57.161.249,,,
61,SALTO,Salto,H,01,10.45.1.15,10.45.1.249,HA0H??,SI,Grito de Asencio 55 y Brasil
388,SALTO,Barrio Artigas (CAC),H,11,10.45.17.15,10.45.17.249,HB0H??,,
569,SALTO,Belen PE,H,21,10.45.33.15,10.45.33.249,,,CL ALVAREZ SANCHEZ P: 426U
570,SALTO,Biassini PE,H,31,10.45.49.15,10.45.49.249,,,FICT RADIOBASE SALTO-BIASSINI S/N  P:  1091
583,SALTO,Villa Constitucion PE,H,41,10.45.65.15,10.45.65.249,,,"Av. Domingo Perez y 18 de Julio Padrón P174U Constitución, Caseta. Num. 47649900."
584,SALTO,Colonia Itapebi PE,H,51,10.45.81.15,10.45.81.249,,,"Ruta 31 km 51,500. Es contenedor, yendo hacia el Este a mano derecha"
84,SAN JOSÉ,San Jose  ,M,01,10.50.1.15,10.50.1.249,OA0O??,SI,EVARISTO CIGANDA 627
85,SAN JOSÉ,Libertad  ,M,11,10.50.17.15,10.50.17.249,,,
86,SAN JOSÉ,Ciudad del Plata,M,21,10.50.33.15,10.50.33.249,,,Km 28.200 / Ex Autodromo
87,SAN JOSÉ,E. Paullier,M,31,10.50.49.15,10.50.49.249,,,
88,SAN JOSÉ,V. Rodriguez,M,41,10.50.65.15,10.50.65.249,,,
89,SAN JOSÉ,R. Peraza,M,51,10.50.81.15,10.50.81.249,,,
545,SAN JOSÉ,Villa Rodríguez,M,58,10.50.88.15,10.50.88.249,,,"Cl Gonzalez, Josefina P: 503U"
546,SAN JOSÉ,Delta del Tigre,M,59,10.50.89.15,10.50.89.249,,,Cl Inca S/N
547,SAN JOSÉ,Orillas del Plata,M,5A,10.50.90.15,10.50.90.249,,,"Ruta 1 KM 47,700"
548,SAN JOSÉ,Playa Pascual,M,5B,10.50.91.15,10.50.91.249,,,Cl Los Peñaroles P: 1507U
549,SAN JOSÉ,Tropas Viejas,M,5C,10.50.92.15,10.50.92.249,,,Ruta 1 P: 30U
550,SAN JOSÉ,Ecilda Paullier,M,5D,10.50.93.15,10.50.93.249,,,Ruta 11 P: 953R
551,SAN JOSÉ,Puntas de Valdez,M,5E,10.50.94.15,10.50.94.249,,,"Cl Faggiani, Abel P: 23U"
552,SAN JOSÉ,Kiyu,M,5F,10.50.95.15,10.50.95.249,,,Cl Ibirapita S/N P: 18079R
603,SAN JOSÉ,Colonia Etchepare Caseta,M,8C,10.50.140.15,10.50.140.249,,,"Calle Constitución s/n -34.440689 -56.435933 Ruta 11, Km. 79"
69,SORIANO,Mercedes,K,01,10.41.1.15,10.41.1.249,,SI,
70,SORIANO,Cardona ,K,11,10.41.17.15,10.41.17.249,,SI,
71,SORIANO,Dolores  ,K,21,10.41.33.15,10.41.33.249,,SI,
72,SORIANO,José Enrique Rodó,K,31,10.41.49.15,10.41.49.249,,,
73,SORIANO,Palmitas,K,41,10.41.65.15,10.41.65.249,,,
601,SORIANO,Santa Catalina Caseta,K,8C,10.41.140.15,10.41.140.249,,,"Caseta - Calle Angel Ceriani s/n -33.788944, -57.492027 Ruta 2, Km. 197"
602,SORIANO,José Enrique Rodó Caseta,K,8D,10.41.141.15,10.41.141.249,,,"Caseta - Calle 18 s/n, entre calle 7 y 9 -33.701073 -57530060 Ruta 2, Km. 215"
104,TACUAREMBO,Tacuarembó,R,01,10.52.1.15,10.52.1.249,,SI,Sarandí 240 y General Flores
105,TACUAREMBO,Paso de los Toros,R,11,10.52.17.15,10.52.17.249,,SI,
106,TACUAREMBO,San Gregorio de Polanco,R,21,10.52.33.15,10.52.33.249,,SI,
107,TACUAREMBO,Depósito Tacuarembo,R,31,10.52.49.15,10.52.49.249,,SI,
466,TACUAREMBO,Patria Gaucha (Provisorio),R,41,10.52.65.15,10.52.65.224,,,Patria Gaucha
594,TACUAREMBO,Achar,R,8C,10.52.140.15,10.52.140.249,,,"Achar, Calle Zorrilla de San Martin y calle 13, al lado estación de trenes. (32°24'23.2""S 56°10'54.3""W)"
595,TACUAREMBO,Peralta,R,8D,10.52.141.15,10.52.141.249,,,"Estación El Lago Parque eólico. Ruta 5 Km 278,300, 1,5 Km a la derecha  (32°34'42.3""S 56°24'45.8""W)"
596,TACUAREMBO,Pampa,R,8E,10.52.142.15,10.52.142.249,,,"Parque eólico Pampa. Ruta 5 Km 314. (32°18'07.4""S 56°14'36.9""W)"
47,TREINTA Y TRES,Treinta y Tres,D,01,10.59.1.15,10.59.1.249,,SI,
48,TREINTA Y TRES,Cerro Chato,D,11,10.59.17.15,10.59.17.249,,SI,
49,TREINTA Y TRES,Vergara,D,21,10.59.33.15,10.59.33.249,,SI,
50,TREINTA Y TRES,Santa Clara del Olimar,D,31,10.59.49.15,10.59.49.249,,SI,
560,TREINTA Y TRES,Enrique Martinez,D,41,10.59.65.15,10.59.65.249,,,P: 317U
411,Z-AGENCIAS,Agencias del Dpto de ARTIGAS,Z,28,10.226.40.0,10.226.40.255,,,Agencieros del departamento de Artigas
412,Z-AGENCIAS,Agencias del Dpto de CANELONES,Z,2E,10.226.46.0,10.226.46.255,,,Agencieros del departamento de Canelones
