ID,DEPARTAMENTO,LOCALIDAD,COD. DPTO,CODIGO RED,IP_DESDE,IP_HASTA,SNA,DHCP,OBSERVACIONES
336,MONTEVIDEO - CENTRO,Edificio Baalbek P7,X,17,10.36.23.15,10.36.23.249,,SI,7mo piso RONDEAU 1921
571,MONTEVIDEO - PERIFERIA,Anexo Venezuela,Y,88,10.38.136.32,10.38.136.254,,,Venezuela 1112 // IP Fija con emulación
572,MONTEVIDEO - PERIFERIA,Anexo Venezuela,Y,89,10.38.137.15,10.38.137.249,,,IP fija sin emulación
573,MONTEVIDEO - PERIFERIA,Anexo Venezuela,Y,8A,10.38.138.1,10.38.138.254,,SI,Rango DHCP
574,MONTEVIDEO - PERIFERIA,Anexo Venezuela,Y,8B,10.38.139.1,10.38.139.254,,SI,Rango DHCP
280,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 01,W,A0,10.33.160.15,10.33.160.249,,,IP fija con emulación
281,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 01,W,A1,10.33.161.15,10.33.161.249,,,IP fija sin emulación
282,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 01,W,A2,10.33.162.15,10.33.162.249,,,Rango reservado
283,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 01,W,A3,10.33.163.15,10.33.163.249,,SI,Rango DHCP
284,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 02,W,A4,10.33.164.15,10.33.164.249,,,IP fija con emulación
285,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 02,W,A5,10.33.165.15,10.33.165.249,,,IP fija sin emulación
286,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 02,W,A6,10.33.166.15,10.33.166.249,,,Rango reservado
287,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 02,W,A7,10.33.167.15,10.33.167.249,,SI,Rango DHCP
288,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 03,W,A8,10.33.168.15,10.33.168.249,,,IP fija con emulación
289,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 03,W,A9,10.33.169.15,10.33.169.249,,,IP fija sin emulación
290,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 03,W,AA,10.33.170.15,10.33.170.249,,,Rango reservado
291,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 03,W,AB,10.33.171.15,10.33.171.249,,SI,Rango DHCP
292,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 04,W,AC,10.33.172.15,10.33.172.249,,,IP fija con emulación
293,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 04,W,AD,10.33.173.15,10.33.173.249,,,IP fija sin emulación
294,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 04,W,AE,10.33.174.15,10.33.174.249,,,Rango reservado
295,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 04,W,AF,10.33.175.15,10.33.175.249,,SI,Rango DHCP
296,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 05,W,B0,10.33.176.15,10.33.176.249,,,IP fija con emulación
297,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 05,W,B1,10.33.177.15,10.33.177.249,,,IP fija sin emulación
298,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 05,W,B2,10.33.178.15.,10.33.178.249,,,Rango reservado
299,MONTEVIDEO - Ed CLIENTES,Edificio Clientes - Piso 05,W,B3,10.33.179.15,10.33.179.249,,SI,Rango DHCP
300,MONTEVIDEO - Ed CLIENTES,Anexos,W,CB,10.33.203.15,10.33.203.249,,,DHCP Anexos : Areas Técnicas ; Nivel 6.2 ; Cultural - ; Estacionamiento ; Guardería
382,MONTEVIDEO - Ed CLIENTES,Anexos,W,C9,10.33.201.15,10.33.201.249,,,IP fija sin emulación (gateway 10.33.200.1)
133,MONTEVIDEO - PERIFERIA,Casona Maldonado,T,04,10.37.4.15,10.37.4.249,SS1SX?,,Maldonado 1331 esquina Ejido
134,MONTEVIDEO - PERIFERIA,Centro Dist. Teleg. Barbato,T,11,10.37.17.15,10.37.17.249,,SI,German Barbato 1410
135,MONTEVIDEO - PERIFERIA,Union,T,21,10.37.33.15,10.37.33.249,,,Pascual Paladino 2503 Central Union
136,MONTEVIDEO - PERIFERIA,Cerrito,T,30,10.37.48.15,10.37.48.249,,SI,Rango DHCP Primario - (Pool 10.37.48.64 - 254)
136,MONTEVIDEO - PERIFERIA,Cerrito,T,31,10.37.49.15,10.37.49.249,,,IP fija con emulación
563,MONTEVIDEO - PERIFERIA,Cerrito,T,32,10.37.50.15,10.37.50.249,,,IP fija sin emulación
564,MONTEVIDEO - PERIFERIA,Cerrito,T,33,10.37.51.15,10.37.51.249,,SI,Rango DHCP Secundario
137,MONTEVIDEO - PERIFERIA,Pocitos,T,51,10.37.81.15,10.37.81.249,,SI,Pocitos - Massini 3012 / Datacenter
534,MONTEVIDEO - PERIFERIA,Datacenter Pocitos,Y,78,10.38.120.15,10.38.120.249,,,
138,MONTEVIDEO - PERIFERIA,Central Carrasco,T,52,10.37.82.15,10.37.82.249,,,Yamandú Rodriguez 1581
139,MONTEVIDEO - PERIFERIA,Centro Comercial Punta Carretas,T,61,10.37.97.15,10.37.97.249,,SI,Garcia Cortinas 2404 (Punta Carretas) / CASI
579,MONTEVIDEO - PERIFERIA,Tienda Punta Carretas,T,15,10.37.21.15,10.37.21.249,,SI,Shopping Punta Carretas Local N3-13
140,MONTEVIDEO - PERIFERIA,Central Cordón,T,70,10.37.112.15,10.37.112.249,SC0SC?,,
141,MONTEVIDEO - PERIFERIA,Telecentro Santiago Vazquez,T,71,10.37.113.15,10.37.113.249,,,
142,MONTEVIDEO - PERIFERIA,Centro Comercial Carrasco,T,72,10.37.114.15,10.37.114.249,,,Arocena y Otero (Telecentro Carrasco) AHORA ES STELLA PARK
143,MONTEVIDEO - PERIFERIA,Telecentro Tres Cruces,T,73,10.37.115.15,10.37.115.249,,SI,
144,MONTEVIDEO - PERIFERIA,Telecentro Sayago,T,75,10.37.117.15,10.37.117.249,,SI,Ariel 4914
145,MONTEVIDEO - PERIFERIA,Centro Comercial Plaza,T,76,10.37.118.15,10.37.118.249,,SI,San José 1101 - (Telecentro Plaza)
146,MONTEVIDEO - PERIFERIA,Centro Comercial Unión,T,77,10.37.119.15,10.37.119.249,,SI,8 de octubre 3619 (Telecentro Unión)
147,MONTEVIDEO - PERIFERIA,Telecentro Hospital de Clinicas,T,78,10.37.120.15,10.37.120.249,,SI,
148,MONTEVIDEO - PERIFERIA,Telecentro Paso de la Arena,T,79,10.37.121.15,10.37.121.249,,,Tomkinson 2352 esq Batlle Berres
149,MONTEVIDEO - PERIFERIA,Costera Pta Carretas,T,7A,10.37.122.15,10.37.122.249,,,Faro Punta Carretas / Punta Brava - RAMBLA MAHATMA GANDHI Y CNO AL FARO 
150,MONTEVIDEO - PERIFERIA,Telecentro Piedras Blancas,T,7B,10.37.123.15,10.37.123.249,,,
151,MONTEVIDEO - PERIFERIA,Depósito Bella Vista,T,7C,10.37.124.15,10.37.124.249,,,Rambla Baltasar Brum 2971
152,MONTEVIDEO - PERIFERIA,SEMU - ANTEL,T,7D,10.37.125.15,10.37.125.249,,,
153,MONTEVIDEO - PERIFERIA,Unión Distribución de Facturas,T,7F,10.37.127.15,10.37.127.249,,,8 de octubre 4100 (telegrafo paladino)
154,MONTEVIDEO - PERIFERIA,Costera Parque Lecocq,T,80,10.37.128.15,10.37.128.249,,,
155,MONTEVIDEO - PERIFERIA,Malvin,T,81,10.37.129.15,10.37.129.249,,,Asamblea 4582
156,MONTEVIDEO - PERIFERIA,Centro Dist. Teleg. Paso Molino,T,91,10.37.145.15,10.37.145.249,,SI,Emilio Romero 134/ India Muerta 
157,MONTEVIDEO - PERIFERIA,Manga,T,A1,10.37.161.15,10.37.161.249,,,CARLOS A.LOPEZ 4240
158,MONTEVIDEO - PERIFERIA,Colon,T,C1,10.37.193.15,10.37.193.249,,,Calderon de la Barca
499,MONTEVIDEO - PERIFERIA,Red de Accesa,T,D0,10.37.208.15,10.37.208.249,,,Red 10.37.208/22  -  Aguada / Punta Carretas
159,MONTEVIDEO - PERIFERIA,Red de Accesa,T,D1,10.37.209.1,10.37.209.254,,,Red 10.37.208/22  -  Aguada / Punta Carretas
500,MONTEVIDEO - PERIFERIA,Red de Accesa,T,D2,10.37.210.1,10.37.210.254,,,Red 10.37.208/22  -  Aguada / Punta Carretas
501,MONTEVIDEO - PERIFERIA,Red de Accesa,T,D3,10.37.211.1,10.37.211.254,,,Red 10.37.208/22  -  Aguada / Punta Carretas
,MONTEVIDEO - PERIFERIA,Red de Accesa,,,10.37.218.1,10.37.218.254,,,Red Accesa      Aguada / Ciudad Vieja / Punta Carretas
,MONTEVIDEO - PERIFERIA,Red de Accesa,,,10.44.226.1,10.44.226.254,,,Red Accesa  Castillos/ Paysandu / Artigas
,MONTEVIDEO - PERIFERIA,Red de Accesa,,,10.44.227.1,10.44.226.254,,,Red Accesa  Castillos/ Paysandu / Artigas
,MONTEVIDEO - PERIFERIA,Red de Accesa,,,10.44.228.1,10.44.226.254,,,Red Accesa  Castillos/ Paysandu / Artigas
502,MONTEVIDEO - PERIFERIA,Central Punta Carretas,T,62,10.37.98.15,10.37.98.249,,,Regional Punta Carretas - Luis de la Torre  634
160,MONTEVIDEO - PERIFERIA,Cerro,T,E1,10.37.225.15,10.37.225.249,TH0TH?,,Grecia 3643 entre Ecuador y Prusia
161,MONTEVIDEO - PERIFERIA,Centro Comercial Cerro,T,E2,10.37.226.15,10.37.226.249,TH1TJ?,SI,Telecentro Cerro -  Grecia 4259 (ex Japon 1709)
162,MONTEVIDEO - PERIFERIA,Plaza Cagancha,T,F8,10.37.248.15,10.37.248.249,,,IP fija con emulación
163,MONTEVIDEO - PERIFERIA,Plaza Cagancha,T,F9,10.37.249.15,10.37.249.249,,,IP fija sin emulación
164,MONTEVIDEO - PERIFERIA,Plaza Cagancha,T,FA,10.37.250.15,10.37.250.249,,,Rango reservado
165,MONTEVIDEO - PERIFERIA,Plaza Cagancha,T,FB,10.37.251.15,10.37.251.249,,,Rango DHCP
377,MONTEVIDEO - PERIFERIA,Centro Comercial Ciudad Vieja,T,00,10.37.0.15,10.37.0.249,,,IP Fija
132,MONTEVIDEO - PERIFERIA,Centro Comercial Ciudad Vieja,T,01,10.37.1.15,10.37.1.249,,SI,DHCP - Treinta y Tres 1416 y 1418 // para HG asignar de este rango
303,MONTEVIDEO - PERIFERIA,Centro Comercial Ciudad Vieja,T,02,10.37.2.15,10.37.2.254,,SI,DHCP
304,MONTEVIDEO - PERIFERIA,Centro Comercial Ciudad Vieja,T,03,10.37.3.15,10.37.3.249,,SI,DHCP
334,MONTEVIDEO - PERIFERIA,Pocitos - Libertad,T,13,10.37.19.15,10.37.19.249,,,IP fija con emulación - 3er Piso - Calle Libertad 2801 o treinta y tres 1418
337,MONTEVIDEO - PERIFERIA,Malvin (2),T,82,10.37.130.15,10.37.130.249,,,Asamblea 4582 P1 (Red de Spremola)
378,MONTEVIDEO - PERIFERIA,Aeropuerto Internacional de Carrasco,T,B1,10.37.177.15,10.37.177.249,,,PB y P1
383,MONTEVIDEO - PERIFERIA,Central Palacio,T,64,10.37.100.15,10.37.100.249,,,(ex-Contenedor Palacio) Colombia 1243  
384,MONTEVIDEO - PERIFERIA,Calle Canaro (Ex Pocitos),T,50,10.37.80.15,10.37.80.249,,,Francisco Canaro 2226
395,MONTEVIDEO - PERIFERIA,Carrasco (Stella Park),T,54,10.37.84.15,10.37.84.249,,,IP fija con emulación
396,MONTEVIDEO - PERIFERIA,Carrasco (Stella Park),T,55,10.37.85.15,10.37.85.249,,,IP fija sin emulación
397,MONTEVIDEO - PERIFERIA,Carrasco (Stella Park),T,56,10.37.86.15,10.37.86.249,,,Rango reservado
398,MONTEVIDEO - PERIFERIA,Carrasco (Stella Park),T,57,10.37.87.15,10.37.87.249,,SI,Rango DHCP
400,MONTEVIDEO - PERIFERIA,Local Antel Integra - Centro Reciclaje,T,6E,10.37.110.15,10.37.110.249,,,Goes 2175 esq. Joaquín Requena (Tel. 24015525)
470,MONTEVIDEO - PERIFERIA,Parque Rodó - Distribuidor de Cobre,T,92,10.37.146.15,10.37.146.249,,,Lauro Muller 1928   
471,MONTEVIDEO - PERIFERIA,Telecentro Rural del Prado,T,5A,10.37.90.15,10.37.90.249,,,Av. Lucas Obes 1011 entre Buschental y 19 de abril - Dámaso Antonio Larrañaga Padrón A009
472,MONTEVIDEO - PERIFERIA,Telecentro MAM,T,3C,10.37.60.15,10.37.60.249,TA0TQ?,SI,José L Terra 2220 Local F96
575,MONTEVIDEO - PERIFERIA,Antel Arena,Y,30,10.38.48.15,10.38.48.249,TU0TC?,,San Gabriel 4004  padrón 72476 / IP fija con emulación
576,MONTEVIDEO - PERIFERIA,Antel Arena,Y,31,10.38.49.15,10.38.49.249,,,IP fija sin emulación
577,MONTEVIDEO - PERIFERIA,Antel Arena,Y,32,10.38.50.15,10.38.50.249,,SI,Rango DHCP
578,MONTEVIDEO - PERIFERIA,Antel Arena,Y,33,10.38.51.15,10.38.51.249,,,Rango reservado
475,MONTEVIDEO - PERIFERIA,Local Zonamerica,T,40,10.37.64.15,10.37.64.249,,SI,Ruta 8 Km 17.500
498,MONTEVIDEO - PERIFERIA,Nuevo Centro Shopping,T,45,10.37.69.15,10.37.69.249,TH0TQ?,SI,Luis Alberto de Herrera y Boulevard Artigas
504,MONTEVIDEO - PERIFERIA,Central Cerrito,T,A8,10.37.168.15,10.37.168.249,,,Juan Acosta 4380 esq. Sorata
506,MONTEVIDEO - PERIFERIA,Kibon,T,A4,10.37.164.15,10.37.164.249,,,Rambla Pte. Charles De Gaulle s/n Se puso Servicio de Eventos 10.101.3.1
507,MONTEVIDEO - PERIFERIA,Tienda Unión,T,AC,10.37.172.15,10.37.172.249,,SI, 8 de Octubre 3601 esquina Pernas 
516,MONTEVIDEO - PERIFERIA,Terminal Colon,T,B0,10.37.176.15,10.37.176.249,,,
523,MONTEVIDEO - PERIFERIA,Obrador Antel Arena,T,B4,10.37.180.15,10.37.180.249,,,Calle San Gabriel S/N - Oficinas de Antel en el obrador de la construcción de Antel Arena
530,MONTEVIDEO - PERIFERIA,Central Euskalerria,T,B8,10.37.184.15,10.37.184.249,,,Hipolito Irigoyen 2339 
526,MONTEVIDEO - PERIFERIA,Impresión y Ensobrado - Paso Molino,T,94,10.37.148.15,10.37.148.249,,,Emilio Romero 134 - Sala de Ensobrado
532,MONTEVIDEO - PERIFERIA,Terminal Belloni,T,BC,10.37.188.15,10.37.188.249,,SI,Belloni 2881 Local 104 
533,MONTEVIDEO - PERIFERIA,Central Ituzaingó,T,BC,10.37.220.15,10.37.220.249,,,Rafael 3475
535,MONTEVIDEO - PERIFERIA,Central Sayago,T,E4,10.37.228.15,10.37.228.249,,,Elías Regules 4711
536,MONTEVIDEO - PERIFERIA,Central Lezica,T,E8,10.37.232.15,10.37.232.249,,,Niña 1798
539,MONTEVIDEO - PERIFERIA,Central Atahualpa,T,F0,10.37.240.15,10.37.240.249,,,Franciso Bicudo 3810
541,MONTEVIDEO - PERIFERIA,Central Paso Carrasco,T,F4,10.37.244.15,10.37.244.249,,,Camino Carrasco s/n esq Calcagno 
600,MONTEVIDEO - PERIFERIA,Depósito Cavia,T,EC,10.37.236.15,10.37.236.249,,,Cavia 2664
608,MONTEVIDEO - PERIFERIA,Central Raissignier,Y,68,10.38.104.15,10.38.104.249,,,Juan J. Raissignier 2520
434,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Planta Baja,Y,3C,10.38.60.15,10.38.60.249,,,IP fija con emulación
435,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Planta Baja,Y,3D,10.38.61.15,10.38.61.249,,,IP fija sin emulación
436,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Planta Baja,Y,3E,10.38.62.15,10.38.62.249,,,Rango reservado
437,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Planta Baja,Y,3F,10.38.63.15,10.38.63.249,,,Rango DHCP
438,MONTEVIDEO - PERIFERIA,Edificio Uruguay,Y,40,10.38.64.15,10.38.64.15,T91TK?,,IP fija con emulación
439,MONTEVIDEO - PERIFERIA,Edificio Uruguay,Y,41,10.38.65.15,10.38.65.249,,,IP fija sin emulación
